crop_name,variety,category,state,district,season,month,buyer_type,price,quantity_sold,historical_demand,is_holiday_event,demand_kg,is_synthetic
Groundnut,Local,Oilseed,Maharashtra,Nashik,Year-Round,4,BUSINESS,57.29,880.46,898.19,1,1230.64,True
Potato,Local,Vegetable,Tamil Nadu,Chennai,Year-Round,1,BUSINESS,30.51,1653.62,1451.78,0,1611.39,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Zaid,1,RETAILER,54.32,2997.55,2945.6,0,2430.57,True
Rice,Basmati,Cereal,Maharashtra,Mumbai,Rabi,8,RESTAURANT,45.88,2457.09,2125.43,0,2039.37,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Year-Round,3,BUSINESS,13.9,1416.92,1339.37,0,2019.93,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Year-Round,1,INDIVIDUAL,56.64,1044.25,1178.54,0,415.25,True
Tomato,Hybrid,Vegetable,Maharashtra,Mumbai,Year-Round,2,RETAILER,42.79,1549.26,1327.84,0,995.75,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Year-Round,1,RETAILER,66.79,711.51,852.43,0,586.2,True
Rice,Common,Cereal,Maharashtra,Mumbai,Rabi,9,INDIVIDUAL,18.36,2417.81,2455.45,0,1150.04,True
Rice,Basmati,Cereal,Maharashtra,Mumbai,Kharif,10,INDIVIDUAL,77.44,2851.49,3000.09,1,1323.51,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Zaid,6,RESTAURANT,21.91,1115.18,1098.24,0,1669.18,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Kharif,4,RESTAURANT,61.72,925.09,1222.08,1,1540.98,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Zaid,3,BUSINESS,70.04,1293.64,1390.1,0,1299.79,True
Mango,Local,Fruit,Punjab,Ludhiana,Kharif,10,WHOLESALER,24.2,764.61,736.52,1,1233.93,True
Maize,Hybrid,Cereal,Gujarat,Rajkot,Kharif,5,RETAILER,86.48,1367.7,1141.5,0,812.84,True
Mango,Local,Fruit,Maharashtra,Mumbai,Kharif,6,RETAILER,38.67,1026.99,947.5,0,1052.85,True
Onion,Red,Vegetable,Maharashtra,Nashik,Rabi,5,WHOLESALER,60.04,1359.39,1338.39,0,2025.0,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Year-Round,5,INDIVIDUAL,24.71,833.02,813.59,0,425.6,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Year-Round,12,WHOLESALER,56.72,1484.17,1534.05,0,1973.23,True
Tomato,Hybrid,Vegetable,Maharashtra,Nashik,Year-Round,10,RESTAURANT,27.27,1572.93,1670.44,1,2390.7,True
Wheat,Common,Cereal,Maharashtra,Pune,Zaid,9,BUSINESS,66.05,2471.3,2527.06,0,2438.6,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Rabi,5,RETAILER,56.34,1246.22,1044.35,0,986.06,True
Onion,Red,Vegetable,Maharashtra,Pune,Kharif,7,INDIVIDUAL,30.61,1720.82,1560.21,0,777.55,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Year-Round,9,INDIVIDUAL,81.85,1349.22,1298.7,0,439.26,True
Onion,Red,Vegetable,Maharashtra,Mumbai,Rabi,5,INDIVIDUAL,34.87,1343.43,1568.69,0,825.3,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Kharif,5,WHOLESALER,87.99,1219.07,1173.38,0,1609.58,True
Groundnut,Local,Oilseed,Maharashtra,Pune,Zaid,12,RETAILER,71.4,802.92,780.11,0,604.02,True
Soybean,Local,Oilseed,Tamil Nadu,Chennai,Rabi,11,WHOLESALER,23.44,730.67,901.84,1,1701.98,True
Wheat,Common,Cereal,Maharashtra,Nashik,Rabi,4,RETAILER,85.89,2170.51,2227.57,1,2218.42,True
Groundnut,Local,Oilseed,Maharashtra,Mumbai,Zaid,3,INDIVIDUAL,12.89,895.54,975.41,0,572.32,True
Mango,Local,Fruit,Gujarat,Rajkot,Kharif,9,RETAILER,65.12,627.86,756.82,0,545.23,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Kharif,6,WHOLESALER,12.95,1505.69,1493.21,0,3619.25,True
Groundnut,Local,Oilseed,Punjab,Ludhiana,Year-Round,3,RESTAURANT,87.61,1094.3,1043.44,0,816.23,True
Green Chilli,Local,Spice,Uttar Pradesh,Agra,Rabi,3,RETAILER,83.39,636.83,711.6,0,495.88,True
Green Chilli,Local,Spice,Gujarat,Rajkot,Rabi,12,BUSINESS,48.17,518.17,661.96,0,605.22,True
Onion,Red,Vegetable,Maharashtra,Mumbai,Kharif,6,WHOLESALER,44.5,1586.59,1450.75,0,2278.18,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Rabi,2,RESTAURANT,15.53,911.07,943.01,0,1219.46,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Zaid,11,RETAILER,77.39,691.11,979.29,1,780.26,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Year-Round,7,BUSINESS,75.41,1792.2,1727.43,0,1797.95,True
Tomato,Hybrid,Vegetable,Maharashtra,Mumbai,Kharif,4,RETAILER,64.39,1028.15,1260.13,1,1471.5,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Rabi,10,WHOLESALER,49.14,2519.52,2275.7,1,3379.73,True
Rice,Common,Cereal,Punjab,Ludhiana,Kharif,2,RESTAURANT,28.61,3674.29,3260.21,0,2946.4,True
Groundnut,Local,Oilseed,Maharashtra,Mumbai,Zaid,2,BUSINESS,54.7,912.14,923.62,0,887.81,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Kharif,4,WHOLESALER,84.27,968.57,1217.42,1,1807.9,True
Wheat,Common,Cereal,Punjab,Ludhiana,Rabi,6,INDIVIDUAL,39.1,2080.29,2490.14,0,1294.9,True
Rice,Common,Cereal,Madhya Pradesh,Indore,Year-Round,11,BUSINESS,26.19,2248.82,2063.74,1,3026.11,True
Potato,Local,Vegetable,Maharashtra,Pune,Kharif,10,RESTAURANT,15.19,1542.37,1704.55,1,2835.66,True
Soybean,Local,Oilseed,Maharashtra,Pune,Kharif,10,INDIVIDUAL,37.08,847.4,851.65,1,415.08,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rabi,11,INDIVIDUAL,12.2,2555.41,2544.53,1,1916.69,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Rabi,8,WHOLESALER,70.3,1022.74,956.56,0,1222.37,True
Groundnut,Local,Oilseed,Maharashtra,Pune,Rabi,6,RESTAURANT,42.98,823.64,874.96,0,1062.32,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Rabi,10,BUSINESS,30.19,1251.51,1306.34,1,1617.37,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Kharif,2,BUSINESS,53.89,1165.49,1094.7,0,952.5,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Rabi,4,WHOLESALER,59.39,1077.61,1079.06,1,1553.46,True
Rice,Basmati,Cereal,Punjab,Ludhiana,Kharif,1,INDIVIDUAL,19.94,2206.28,2385.47,0,1170.41,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Kharif,7,RESTAURANT,52.91,2375.44,2300.77,0,2493.99,True
Rice,Basmati,Cereal,Maharashtra,Pune,Year-Round,12,RESTAURANT,79.51,2569.36,2355.81,0,2086.06,True
Maize,Hybrid,Cereal,Maharashtra,Pune,Zaid,11,WHOLESALER,33.84,913.55,992.47,1,1743.21,True
Rice,Basmati,Cereal,Karnataka,Bengaluru,Zaid,4,RETAILER,69.43,3056.27,2961.75,1,3015.28,True
Groundnut,Local,Oilseed,Karnataka,Bengaluru,Kharif,11,RESTAURANT,16.04,772.79,861.77,1,1331.56,True
Rice,Common,Cereal,Maharashtra,Pune,Kharif,8,WHOLESALER,18.85,2264.22,2581.36,0,5269.31,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Rabi,12,BUSINESS,43.86,1473.92,1569.68,0,1569.58,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Year-Round,6,BUSINESS,77.66,1474.0,1550.64,0,1619.09,True
Green Chilli,Local,Spice,Punjab,Ludhiana,Kharif,3,RESTAURANT,61.43,555.17,574.05,0,542.56,True
Soybean,Local,Oilseed,Tamil Nadu,Chennai,Rabi,8,RESTAURANT,60.68,861.17,729.0,0,613.38,True
Rice,Common,Cereal,Maharashtra,Pune,Rabi,5,RESTAURANT,54.34,2218.5,2859.2,0,2846.4,True
Potato,Local,Vegetable,Gujarat,Rajkot,Rabi,4,INDIVIDUAL,50.64,2244.65,1886.32,1,1096.33,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Rabi,2,WHOLESALER,50.53,1529.72,1608.12,0,1918.86,True
Onion,Red,Vegetable,Gujarat,Rajkot,Year-Round,8,INDIVIDUAL,54.11,991.68,1039.79,0,481.53,True
Soybean,Local,Oilseed,Punjab,Ludhiana,Year-Round,11,WHOLESALER,38.72,1084.27,1139.94,1,1625.34,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Rabi,2,RETAILER,31.97,1200.97,1011.12,0,973.95,True
Soybean,Local,Oilseed,Tamil Nadu,Chennai,Rabi,3,INDIVIDUAL,20.13,973.82,1013.88,0,502.79,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Rabi,7,RETAILER,37.91,775.42,849.81,0,770.97,True
Green Chilli,Local,Spice,Tamil Nadu,Chennai,Rabi,4,RETAILER,12.36,601.74,684.93,1,1032.98,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Rabi,7,WHOLESALER,49.51,1221.76,1117.75,0,1697.58,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Kharif,8,RETAILER,40.27,1448.94,1185.83,0,1248.11,True
Mango,Local,Fruit,Maharashtra,Pune,Kharif,1,RETAILER,86.96,675.12,778.49,0,644.8,True
Rice,Common,Cereal,Maharashtra,Mumbai,Zaid,8,RESTAURANT,39.25,3323.59,2615.4,0,2811.29,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Rabi,1,RESTAURANT,47.36,1994.79,1763.77,0,1851.08,True
Onion,Red,Vegetable,Maharashtra,Nashik,Year-Round,7,RESTAURANT,41.12,1220.69,1109.73,0,1164.42,True
Mango,Local,Fruit,Maharashtra,Nashik,Zaid,7,BUSINESS,77.5,875.26,779.45,0,718.18,True
Rice,Common,Cereal,Gujarat,Rajkot,Rabi,9,INDIVIDUAL,25.93,2294.35,2688.66,0,1371.34,True
Tomato,Desi,Vegetable,Maharashtra,Mumbai,Year-Round,8,RESTAURANT,87.09,963.18,1079.88,0,975.56,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Kharif,3,INDIVIDUAL,80.36,1621.1,1392.6,0,510.03,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Year-Round,11,WHOLESALER,76.36,1433.75,1450.6,1,1836.2,True
Maize,Hybrid,Cereal,Maharashtra,Pune,Kharif,12,RESTAURANT,85.98,1132.49,1211.73,0,1039.89,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Zaid,7,RETAILER,49.81,1123.34,1111.64,0,996.37,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Rabi,11,BUSINESS,22.32,1323.88,1278.28,1,2113.6,True
Green Chilli,Local,Spice,Uttar Pradesh,Agra,Rabi,5,WHOLESALER,56.97,496.91,624.5,0,931.49,True
Rice,Common,Cereal,Punjab,Ludhiana,Rabi,6,INDIVIDUAL,32.57,3020.67,2722.88,0,1334.26,True
Tomato,Desi,Vegetable,Tamil Nadu,Chennai,Kharif,7,WHOLESALER,83.32,897.82,1060.69,0,1261.54,True
Mango,Local,Fruit,Uttar Pradesh,Agra,Zaid,1,RESTAURANT,19.05,780.43,802.09,0,1103.17,True
Onion,Red,Vegetable,Maharashtra,Nashik,Zaid,7,RESTAURANT,86.05,1451.87,1472.78,0,1379.78,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Zaid,4,RESTAURANT,58.42,843.14,843.68,1,1009.46,True
Groundnut,Local,Oilseed,Maharashtra,Pune,Kharif,10,WHOLESALER,20.31,830.52,865.29,1,2031.33,True
Soybean,Local,Oilseed,Tamil Nadu,Chennai,Zaid,3,RESTAURANT,18.07,1057.35,945.51,0,1171.66,True
Tomato,Hybrid,Vegetable,Maharashtra,Nashik,Rabi,9,RETAILER,26.44,1683.51,1659.69,0,1790.63,True
Rice,Common,Cereal,Punjab,Ludhiana,Rabi,6,RETAILER,82.46,3209.71,2760.85,0,2524.39,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Kharif,7,WHOLESALER,56.3,1105.07,981.08,0,1377.15,True
Onion,Red,Vegetable,Madhya Pradesh,Indore,Zaid,2,RESTAURANT,76.66,1512.66,1495.41,0,1126.89,True
Potato,Local,Vegetable,Maharashtra,Pune,Zaid,5,RESTAURANT,38.51,1781.42,1753.02,0,2129.23,True
Rice,Basmati,Cereal,Tamil Nadu,Chennai,Kharif,2,RETAILER,81.11,1690.86,2017.58,0,1403.38,True
Rice,Common,Cereal,Maharashtra,Mumbai,Rabi,2,RESTAURANT,80.23,2801.2,2785.48,0,2360.47,True
Green Chilli,Local,Spice,Tamil Nadu,Chennai,Year-Round,8,BUSINESS,88.76,529.11,558.99,0,600.37,True
Rice,Common,Cereal,Karnataka,Bengaluru,Kharif,1,RETAILER,20.62,2002.36,2250.44,0,2189.17,True
Maize,Hybrid,Cereal,Maharashtra,Nashik,Kharif,9,RETAILER,42.55,936.5,1015.54,0,948.85,True
Mango,Local,Fruit,Uttar Pradesh,Agra,Zaid,8,RESTAURANT,82.49,725.7,788.06,0,683.41,True
Potato,Local,Vegetable,Maharashtra,Pune,Kharif,10,RETAILER,26.54,1761.62,1907.52,1,2560.58,True
Green Chilli,Local,Spice,Uttar Pradesh,Agra,Zaid,7,RETAILER,52.42,825.72,637.89,0,606.48,True
Tomato,Desi,Vegetable,Maharashtra,Nashik,Year-Round,3,RESTAURANT,29.51,1104.11,1077.86,0,1063.69,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Rabi,5,WHOLESALER,47.68,855.28,935.68,0,1294.42,True
Tomato,Desi,Vegetable,Tamil Nadu,Chennai,Zaid,8,RETAILER,54.97,1268.46,1295.98,0,1066.96,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Zaid,5,WHOLESALER,53.54,2738.62,2726.87,0,4399.85,True
Wheat,Common,Cereal,Maharashtra,Nashik,Rabi,8,RESTAURANT,79.72,2398.15,2596.92,0,2275.69,True
Maize,Hybrid,Cereal,Tamil Nadu,Chennai,Kharif,10,BUSINESS,60.25,1087.91,1028.59,1,1208.45,True
Rice,Common,Cereal,Maharashtra,Pune,Year-Round,2,INDIVIDUAL,51.58,2437.92,2383.27,0,862.41,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Zaid,2,BUSINESS,12.71,1500.21,1466.82,0,2350.48,True
Mango,Local,Fruit,Punjab,Ludhiana,Kharif,6,BUSINESS,25.55,827.06,781.09,0,1127.41,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Kharif,6,WHOLESALER,17.83,1735.79,1412.02,0,3137.1,True
Mango,Local,Fruit,Madhya Pradesh,Indore,Kharif,11,RETAILER,37.24,1114.25,938.03,1,997.83,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Rabi,2,WHOLESALER,89.78,598.07,812.44,0,827.36,True
Groundnut,Local,Oilseed,Karnataka,Bengaluru,Year-Round,2,BUSINESS,63.05,785.78,807.33,0,663.73,True
Green Chilli,Local,Spice,Punjab,Ludhiana,Zaid,4,RESTAURANT,33.39,614.7,597.26,1,875.0,True
Potato,Local,Vegetable,Maharashtra,Nashik,Kharif,8,BUSINESS,55.89,2425.86,1863.37,0,1786.77,True
Mango,Local,Fruit,Tamil Nadu,Chennai,Kharif,5,RESTAURANT,77.89,987.22,851.42,0,823.15,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Kharif,12,BUSINESS,45.56,1172.31,1177.99,0,1145.01,True
Rice,Basmati,Cereal,Uttar Pradesh,Agra,Kharif,5,WHOLESALER,74.21,1846.88,2388.45,0,2930.57,True
Rice,Basmati,Cereal,Tamil Nadu,Chennai,Kharif,12,RETAILER,15.09,1674.25,1894.03,0,2284.01,True
Tomato,Hybrid,Vegetable,Tamil Nadu,Chennai,Rabi,6,BUSINESS,66.79,1471.59,1466.86,0,1695.33,True
Tomato,Hybrid,Vegetable,Tamil Nadu,Chennai,Kharif,1,INDIVIDUAL,18.13,1050.26,1193.74,0,607.67,True
Rice,Common,Cereal,Maharashtra,Pune,Zaid,2,WHOLESALER,25.06,2415.62,2671.63,0,4412.68,True
Wheat,Common,Cereal,Gujarat,Rajkot,Rabi,12,BUSINESS,38.48,2520.07,2485.9,0,3088.64,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Rabi,3,RETAILER,24.79,1048.82,1110.14,0,1291.73,True
Maize,Hybrid,Cereal,Maharashtra,Mumbai,Rabi,3,BUSINESS,70.05,1191.06,1218.26,0,1247.64,True
Potato,Local,Vegetable,Maharashtra,Pune,Rabi,2,RESTAURANT,29.82,1705.13,1596.99,0,1592.19,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Year-Round,1,INDIVIDUAL,68.72,1442.93,1531.74,0,602.18,True
Onion,Red,Vegetable,Karnataka,Bengaluru,Year-Round,8,WHOLESALER,79.63,1465.12,1181.35,0,1406.93,True
Tomato,Desi,Vegetable,Maharashtra,Pune,Year-Round,6,WHOLESALER,89.39,1368.27,1531.51,0,1717.42,True
Potato,Local,Vegetable,Maharashtra,Pune,Year-Round,5,RETAILER,22.26,1948.02,1888.93,0,2161.43,True
Tomato,Desi,Vegetable,Madhya Pradesh,Indore,Kharif,5,INDIVIDUAL,46.1,1183.59,1212.69,0,515.2,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Kharif,4,WHOLESALER,19.43,2350.07,2081.98,1,5226.81,True
Green Chilli,Local,Spice,Maharashtra,Nashik,Year-Round,12,BUSINESS,87.65,473.56,582.28,0,513.78,True
Potato,Local,Vegetable,Uttar Pradesh,Agra,Rabi,10,INDIVIDUAL,38.29,2012.9,1753.33,1,959.37,True
Tomato,Hybrid,Vegetable,Tamil Nadu,Chennai,Year-Round,6,BUSINESS,41.59,1037.6,1291.2,0,1855.19,True
Mango,Local,Fruit,Punjab,Ludhiana,Kharif,1,BUSINESS,46.82,920.31,813.91,0,815.17,True
Tomato,Desi,Vegetable,Tamil Nadu,Chennai,Zaid,5,BUSINESS,16.03,1111.87,1305.75,0,2288.25,True
Green Chilli,Local,Spice,Punjab,Ludhiana,Zaid,5,RETAILER,51.56,682.21,654.98,0,658.01,True
Tomato,Desi,Vegetable,Madhya Pradesh,Indore,Year-Round,6,BUSINESS,21.81,930.57,923.49,0,1482.88,True
Wheat,Common,Cereal,Maharashtra,Pune,Kharif,1,INDIVIDUAL,46.61,2415.67,2354.24,0,987.84,True
Soybean,Local,Oilseed,Maharashtra,Pune,Rabi,1,WHOLESALER,79.77,943.38,997.09,0,1078.53,True
Wheat,Common,Cereal,Tamil Nadu,Chennai,Rabi,4,RETAILER,58.85,3168.1,2601.4,1,2607.19,True
Rice,Basmati,Cereal,Tamil Nadu,Chennai,Kharif,9,RETAILER,79.92,2487.68,2390.0,0,1936.31,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Rabi,6,BUSINESS,64.07,1263.79,1165.71,0,1309.88,True
Groundnut,Local,Oilseed,Maharashtra,Nashik,Year-Round,6,RETAILER,37.61,1122.21,966.94,0,1165.04,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Year-Round,9,RETAILER,30.53,484.74,522.41,0,513.59,True
Soybean,Local,Oilseed,Maharashtra,Pune,Rabi,9,RESTAURANT,54.3,710.61,883.49,0,846.25,True
Onion,Red,Vegetable,Madhya Pradesh,Indore,Rabi,2,BUSINESS,86.53,1428.83,1364.62,0,1106.35,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Year-Round,5,BUSINESS,64.27,1381.41,1371.9,0,1602.01,True
Wheat,Common,Cereal,Karnataka,Bengaluru,Rabi,2,WHOLESALER,33.26,2105.86,2164.2,0,2994.01,True
Soybean,Local,Oilseed,Madhya Pradesh,Indore,Kharif,7,RETAILER,56.25,1001.89,858.01,0,787.04,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Kharif,10,RESTAURANT,12.2,1952.23,1537.12,1,3046.56,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Rabi,9,INDIVIDUAL,82.66,1027.72,990.09,0,378.15,True
Groundnut,Local,Oilseed,Punjab,Ludhiana,Year-Round,2,RESTAURANT,78.39,1001.55,937.45,0,695.56,True
Rice,Common,Cereal,Maharashtra,Pune,Kharif,1,RESTAURANT,79.8,3515.68,2712.37,0,1878.45,True
Rice,Basmati,Cereal,Punjab,Ludhiana,Zaid,3,BUSINESS,28.08,2364.25,2168.39,0,2578.43,True
Maize,Hybrid,Cereal,Maharashtra,Pune,Year-Round,3,INDIVIDUAL,64.72,867.35,1117.99,0,341.73,True
Maize,Hybrid,Cereal,Maharashtra,Nashik,Zaid,7,BUSINESS,75.86,1033.87,918.6,0,992.15,True
Onion,Red,Vegetable,Gujarat,Rajkot,Kharif,1,BUSINESS,26.97,1245.64,1435.22,0,1668.54,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Year-Round,1,BUSINESS,17.27,1118.42,1031.6,0,1573.51,True
Tomato,Desi,Vegetable,Maharashtra,Mumbai,Rabi,12,INDIVIDUAL,47.63,1077.64,1314.11,0,476.97,True
Potato,Local,Vegetable,Maharashtra,Pune,Zaid,4,BUSINESS,18.92,1902.43,1819.89,1,3326.64,True
Soybean,Local,Oilseed,Tamil Nadu,Chennai,Zaid,12,RETAILER,35.47,997.26,999.66,0,965.16,True
Rice,Common,Cereal,Maharashtra,Mumbai,Year-Round,6,INDIVIDUAL,69.5,2631.86,2404.14,0,960.18,True
Rice,Basmati,Cereal,Maharashtra,Pune,Year-Round,7,RETAILER,59.46,2186.74,2568.34,0,2335.66,True
Onion,Red,Vegetable,Maharashtra,Nashik,Zaid,2,INDIVIDUAL,40.09,1212.6,1142.93,0,405.18,True
Onion,Red,Vegetable,Maharashtra,Pune,Zaid,6,RESTAURANT,73.33,1321.36,1098.6,0,1281.77,True
Onion,Red,Vegetable,Maharashtra,Nashik,Rabi,6,WHOLESALER,60.98,1801.1,1452.23,0,1934.75,True
Rice,Common,Cereal,Karnataka,Bengaluru,Rabi,9,INDIVIDUAL,13.79,2571.51,2712.83,0,1513.2,True
Onion,Red,Vegetable,Maharashtra,Pune,Year-Round,10,RETAILER,56.86,1094.87,1124.32,1,1006.76,True
Rice,Basmati,Cereal,Karnataka,Bengaluru,Zaid,3,RETAILER,76.37,2328.33,2575.43,0,1930.79,True
Green Chilli,Local,Spice,Maharashtra,Pune,Year-Round,9,BUSINESS,18.24,596.11,575.28,0,865.89,True
Onion,Red,Vegetable,Maharashtra,Pune,Kharif,12,INDIVIDUAL,13.38,1137.66,1419.89,0,928.93,True
Potato,Local,Vegetable,Punjab,Ludhiana,Zaid,2,WHOLESALER,28.52,2070.15,2095.11,0,2559.4,True
Rice,Common,Cereal,Maharashtra,Mumbai,Kharif,3,INDIVIDUAL,21.47,2621.09,2829.35,0,1395.42,True
Mango,Local,Fruit,Maharashtra,Nashik,Year-Round,4,RETAILER,30.15,706.75,752.57,1,1077.25,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Year-Round,3,RESTAURANT,44.3,1443.35,1355.29,0,1429.23,True
Rice,Basmati,Cereal,Punjab,Ludhiana,Rabi,7,WHOLESALER,22.44,2711.37,2842.36,0,6012.57,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Kharif,1,INDIVIDUAL,12.95,2281.52,2590.56,0,1488.65,True
Mango,Local,Fruit,Punjab,Ludhiana,Year-Round,7,INDIVIDUAL,50.08,683.36,764.54,0,341.27,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Kharif,6,WHOLESALER,73.23,1184.85,1288.29,0,1864.66,True
Tomato,Hybrid,Vegetable,Maharashtra,Pune,Year-Round,1,WHOLESALER,84.56,1483.11,1621.34,0,1711.59,True
Wheat,Common,Cereal,Uttar Pradesh,Agra,Year-Round,1,RETAILER,17.2,2326.73,2714.83,0,3047.36,True
Mango,Local,Fruit,Maharashtra,Nashik,Zaid,5,INDIVIDUAL,14.97,990.65,863.44,0,546.0,True
