crop_name,variety,category,state,district,mandi_name,season,month,quantity_kg,grade,demand_index,historical_avg_price,unit_price,is_synthetic
Potato,Local,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Zaid,1,4973.03,Grade B,1.16,18.87,18.82,True
Mango,Local,Fruit,Maharashtra,Nashik,Nashik APMC,Kharif,1,2786.19,Grade C,1.29,60.06,57.14,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,9,2003.72,Grade A,1.61,26.27,44.41,True
Rice,Common,Cereal,Maharashtra,Pune,Pune APMC,Zaid,2,1646.63,Grade B,1.62,36.17,50.86,True
Rice,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Rabi,3,1318.22,Grade C,1.33,31.69,34.35,True
Wheat,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Rabi,12,4438.75,Grade B,0.63,24.5,16.72,True
Rice,Basmati,Cereal,Maharashtra,Mumbai,Vashi APMC,Kharif,6,2974.62,Grade A,0.64,69.64,52.73,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,12,3133.31,Grade A,0.7,25.09,17.74,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Year-Round,2,2605.69,Grade B,0.99,17.05,15.49,True
Mango,Local,Fruit,Maharashtra,Pune,Pune APMC,Zaid,10,4815.11,Grade A,1.6,60.99,102.45,True
Soybean,Local,Oilseed,Maharashtra,Pune,Pune APMC,Kharif,6,3587.25,Grade B,1.39,46.36,70.71,True
Rice,Basmati,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,10,1812.06,Grade A,1.51,77.66,125.08,True
Mango,Local,Fruit,Gujarat,Rajkot,Rajkot APMC,Rabi,5,2393.69,Grade B,0.81,54.63,41.28,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Kharif,4,1904.33,Grade C,1.35,49.19,55.4,True
Green Chilli,Local,Spice,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,7,4724.05,Grade B,1.64,43.75,73.67,True
Mango,Local,Fruit,Maharashtra,Pune,Pune APMC,Zaid,1,4065.46,Grade B,1.58,70.91,99.37,True
Wheat,Common,Cereal,Maharashtra,Pune,Pune APMC,Zaid,12,548.85,Grade A,0.62,28.63,18.91,True
Tomato,Hybrid,Vegetable,Maharashtra,Pune,Pune APMC,Year-Round,10,165.2,Grade A,1.58,23.76,40.0,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Kharif,8,3688.6,Grade C,1.56,37.35,47.05,True
Maize,Hybrid,Cereal,Gujarat,Rajkot,Rajkot APMC,Year-Round,3,2092.46,Grade B,1.05,20.82,21.39,True
Green Chilli,Local,Spice,Karnataka,Bengaluru,Bengaluru APMC,Kharif,7,3784.99,Grade B,0.72,40.04,31.17,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,1,314.75,Grade C,1.75,21.28,30.96,True
Mango,Local,Fruit,Uttar Pradesh,Agra,Agra Mandi,Zaid,3,2490.48,Grade C,0.7,66.05,33.23,True
Onion,Red,Vegetable,Maharashtra,Mumbai,Vashi APMC,Kharif,7,3917.42,Grade B,0.74,22.57,18.78,True
Groundnut,Local,Oilseed,Maharashtra,Pune,Pune APMC,Zaid,10,4192.97,Grade A,1.64,53.86,91.1,True
Wheat,Common,Cereal,Maharashtra,Pune,Pune APMC,Kharif,10,775.69,Grade C,1.22,29.0,25.78,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,7,4930.71,Grade A,1.5,23.56,40.86,True
Mango,Local,Fruit,Uttar Pradesh,Agra,Agra Mandi,Zaid,10,1684.75,Grade B,1.12,62.01,58.24,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,9,3733.85,Grade B,1.42,43.06,52.25,True
Mango,Local,Fruit,Maharashtra,Nashik,Nashik APMC,Kharif,6,2209.86,Grade C,1.56,65.24,93.87,True
Green Chilli,Local,Spice,Gujarat,Rajkot,Rajkot APMC,Rabi,12,415.29,Grade C,1.26,40.08,42.71,True
Maize,Hybrid,Cereal,Maharashtra,Nashik,Nashik APMC,Rabi,1,3156.41,Grade A,1.3,21.8,30.08,True
Mango,Local,Fruit,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,4,2345.31,Grade A,1.02,61.05,70.11,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,1,1434.83,Grade B,1.09,19.33,20.19,True
Potato,Local,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Rabi,5,3086.41,Grade C,1.1,19.7,18.24,True
Tomato,Hybrid,Vegetable,Maharashtra,Mumbai,Vashi APMC,Kharif,9,4851.08,Grade B,1.61,24.77,37.5,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Kharif,7,4330.38,Grade A,1.58,20.18,37.39,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Rabi,5,2280.19,Grade A,0.75,40.38,36.93,True
Tomato,Hybrid,Vegetable,Maharashtra,Nashik,Nashik APMC,Year-Round,12,1379.93,Grade B,0.63,18.04,10.5,True
Potato,Local,Vegetable,Maharashtra,Mumbai,Vashi APMC,Rabi,6,4841.47,Grade C,0.71,18.6,12.77,True
Rice,Common,Cereal,Madhya Pradesh,Indore,Indore Mandi,Kharif,2,4034.97,Grade B,1.68,35.57,50.67,True
Tomato,Desi,Vegetable,Maharashtra,Pune,Pune APMC,Rabi,11,500.46,Grade A,1.47,16.75,28.87,True
Mango,Local,Fruit,Uttar Pradesh,Agra,Agra Mandi,Zaid,1,4750.13,Grade B,0.78,64.92,46.85,True
Mango,Local,Fruit,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,6,2488.46,Grade A,0.99,58.22,72.72,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Kharif,11,737.19,Grade B,1.37,17.26,21.41,True
Potato,Local,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,2,3029.58,Grade B,0.87,17.28,13.93,True
Soybean,Local,Oilseed,Punjab,Ludhiana,Ludhiana Mandi,Rabi,1,2695.4,Grade A,1.03,40.61,40.62,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Nashik APMC,Zaid,8,4374.21,Grade B,1.71,44.6,73.18,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,4,1086.28,Grade B,1.04,29.75,30.48,True
Rice,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Year-Round,10,231.58,Grade B,0.9,36.61,31.37,True
Groundnut,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Year-Round,10,1803.03,Grade A,1.08,56.29,62.0,True
Mango,Local,Fruit,Maharashtra,Pune,Pune APMC,Zaid,7,491.56,Grade A,1.24,61.35,91.41,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Rabi,2,480.26,Grade B,1.24,24.68,28.48,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Zaid,5,1847.26,Grade A,1.38,21.17,36.12,True
Rice,Basmati,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Kharif,6,1165.4,Grade A,1.04,82.13,107.3,True
Wheat,Common,Cereal,Madhya Pradesh,Indore,Indore Mandi,Kharif,3,140.3,Grade A,1.44,29.79,47.43,True
Rice,Basmati,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,6,3359.78,Grade B,1.72,87.26,162.88,True
Potato,Local,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,10,1652.21,Grade A,1.11,15.66,18.21,True
Tomato,Hybrid,Vegetable,Maharashtra,Pune,Pune APMC,Rabi,5,2555.21,Grade A,1.72,26.76,52.14,True
Rice,Basmati,Cereal,Maharashtra,Pune,Pune APMC,Year-Round,7,2767.16,Grade A,0.84,71.5,72.75,True
Green Chilli,Local,Spice,Maharashtra,Nashik,Nashik APMC,Kharif,8,3050.2,Grade A,1.55,38.21,70.16,True
Green Chilli,Local,Spice,Gujarat,Rajkot,Rajkot APMC,Zaid,12,1927.18,Grade C,1.71,41.85,58.31,True
Green Chilli,Local,Spice,Uttar Pradesh,Agra,Agra Mandi,Year-Round,5,972.7,Grade A,0.88,42.38,45.91,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Rabi,8,2287.15,Grade A,1.46,22.44,38.64,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Zaid,9,1809.04,Grade B,1.07,23.51,23.83,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Zaid,6,1697.44,Grade A,1.48,26.02,48.63,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Rabi,4,4988.58,Grade C,1.5,26.94,33.13,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,10,2495.21,Grade B,1.51,25.17,32.76,True
Onion,Red,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,8,792.09,Grade B,0.88,23.7,22.62,True
Potato,Local,Vegetable,Maharashtra,Mumbai,Vashi APMC,Year-Round,11,3015.2,Grade B,1.59,17.84,25.88,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rajkot APMC,Zaid,11,809.09,Grade B,1.3,89.67,110.58,True
Wheat,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Zaid,4,4597.82,Grade C,1.55,26.65,34.77,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Agra Mandi,Zaid,8,4210.18,Grade B,1.69,21.42,34.45,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Year-Round,9,1694.12,Grade A,0.97,46.94,46.52,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Kharif,9,72.93,Grade A,1.0,23.5,23.89,True
Groundnut,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Rabi,11,3700.63,Grade B,1.14,53.86,50.45,True
Potato,Local,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,4,2123.68,Grade B,1.7,19.56,30.82,True
Rice,Basmati,Cereal,Maharashtra,Pune,Pune APMC,Year-Round,1,931.28,Grade A,1.75,73.39,133.55,True
Mango,Local,Fruit,Madhya Pradesh,Indore,Indore Mandi,Kharif,7,2997.16,Grade A,0.68,60.93,51.46,True
Potato,Local,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Year-Round,1,230.92,Grade B,1.17,16.97,18.87,True
Potato,Local,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Rabi,12,2431.39,Grade B,1.2,17.49,19.78,True
Wheat,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,10,1390.19,Grade C,1.37,27.19,28.84,True
Mango,Local,Fruit,Gujarat,Rajkot,Rajkot APMC,Rabi,8,184.13,Grade C,0.87,68.75,49.52,True
Wheat,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Kharif,3,4442.93,Grade B,1.27,29.93,34.44,True
Wheat,Common,Cereal,Uttar Pradesh,Agra,Agra Mandi,Year-Round,11,4815.11,Grade C,1.73,27.38,34.08,True
Rice,Common,Cereal,Gujarat,Rajkot,Rajkot APMC,Rabi,7,3692.73,Grade A,1.62,38.83,75.37,True
Tomato,Hybrid,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Kharif,10,4134.28,Grade A,1.04,27.37,27.47,True
Maize,Hybrid,Cereal,Maharashtra,Pune,Pune APMC,Kharif,4,4874.01,Grade A,1.54,22.29,35.97,True
Groundnut,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Zaid,1,2449.65,Grade B,1.21,58.83,67.22,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Indore Mandi,Kharif,11,2137.43,Grade A,0.76,22.52,18.77,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Vashi APMC,Rabi,5,4084.52,Grade C,1.2,39.52,38.69,True
Rice,Basmati,Cereal,Maharashtra,Pune,Pune APMC,Year-Round,10,743.09,Grade A,0.92,80.47,75.4,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Kharif,7,2887.81,Grade B,1.61,22.25,36.63,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Rabi,3,497.17,Grade B,1.53,21.32,30.88,True
Groundnut,Local,Oilseed,Madhya Pradesh,Indore,Indore Mandi,Year-Round,2,2013.41,Grade B,1.74,54.78,81.08,True
Soybean,Local,Oilseed,Karnataka,Bengaluru,Bengaluru APMC,Zaid,3,4215.57,Grade A,1.62,43.27,76.37,True
Maize,Hybrid,Cereal,Maharashtra,Nashik,Nashik APMC,Year-Round,9,3539.38,Grade B,1.32,20.6,24.68,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,6,2971.64,Grade B,1.03,17.89,19.19,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Year-Round,1,3310.98,Grade B,1.43,26.98,35.11,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Zaid,9,4723.09,Grade B,0.65,22.76,13.57,True
Rice,Common,Cereal,Maharashtra,Pune,Pune APMC,Kharif,7,218.03,Grade B,1.44,36.25,56.8,True
Tomato,Desi,Vegetable,Maharashtra,Mumbai,Vashi APMC,Zaid,4,4230.52,Grade B,0.98,17.75,16.82,True
Mango,Local,Fruit,Punjab,Ludhiana,Ludhiana Mandi,Rabi,11,1732.38,Grade C,1.47,64.03,72.72,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Kharif,2,2624.83,Grade B,1.11,24.56,25.01,True
Potato,Local,Vegetable,Maharashtra,Pune,Pune APMC,Rabi,7,968.09,Grade A,1.06,21.74,28.0,True
Mango,Local,Fruit,Madhya Pradesh,Indore,Indore Mandi,Kharif,9,1715.03,Grade B,1.23,55.32,63.42,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Rabi,9,1422.46,Grade A,1.69,18.47,33.9,True
Groundnut,Local,Oilseed,Maharashtra,Pune,Pune APMC,Kharif,11,2963.34,Grade B,1.78,56.07,92.69,True
Tomato,Desi,Vegetable,Maharashtra,Nashik,Nashik APMC,Zaid,11,2037.82,Grade C,1.61,20.99,25.95,True
Soybean,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Rabi,9,972.87,Grade A,1.54,43.21,73.16,True
Rice,Common,Cereal,Maharashtra,Nashik,Nashik APMC,Kharif,10,2648.91,Grade C,0.91,29.87,26.11,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,6,3133.54,Grade C,1.5,24.73,34.51,True
Wheat,Common,Cereal,Maharashtra,Mumbai,Vashi APMC,Zaid,9,269.66,Grade A,1.62,27.85,50.31,True
Maize,Hybrid,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,8,1300.61,Grade A,0.61,21.59,15.6,True
Tomato,Desi,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Kharif,12,426.85,Grade A,1.62,14.43,25.25,True
Potato,Local,Vegetable,Maharashtra,Pune,Pune APMC,Zaid,2,2741.71,Grade A,1.64,18.23,31.45,True
Wheat,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Kharif,9,1703.34,Grade A,0.89,25.92,25.94,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Vashi APMC,Kharif,3,4401.4,Grade C,0.61,38.27,18.8,True
Rice,Common,Cereal,Madhya Pradesh,Indore,Indore Mandi,Rabi,12,81.61,Grade C,0.94,35.54,27.86,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,8,4102.46,Grade A,0.75,27.37,22.51,True
Mango,Local,Fruit,Karnataka,Bengaluru,Bengaluru APMC,Zaid,6,4689.28,Grade C,1.43,64.03,78.88,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Rabi,6,1762.12,Grade B,1.35,23.88,35.31,True
Mango,Local,Fruit,Madhya Pradesh,Indore,Indore Mandi,Kharif,6,1890.58,Grade A,1.58,64.41,122.14,True
Onion,Red,Vegetable,Maharashtra,Nashik,Nashik APMC,Zaid,7,2658.77,Grade B,1.59,23.47,38.32,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Zaid,1,4818.02,Grade A,0.64,22.76,14.91,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Vashi APMC,Year-Round,9,2239.38,Grade A,0.97,43.72,43.8,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Zaid,9,3588.87,Grade A,1.28,24.02,30.51,True
Mango,Local,Fruit,Uttar Pradesh,Agra,Agra Mandi,Kharif,5,810.61,Grade C,1.14,63.07,65.01,True
Mango,Local,Fruit,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,3,968.02,Grade C,1.15,57.58,54.96,True
Maize,Hybrid,Cereal,Uttar Pradesh,Agra,Agra Mandi,Year-Round,6,2930.76,Grade B,0.92,20.88,21.35,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,2,2425.7,Grade A,1.32,27.05,34.58,True
Tomato,Hybrid,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Rabi,11,2428.51,Grade C,0.73,24.99,12.72,True
Rice,Basmati,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,8,98.37,Grade A,0.99,69.74,83.35,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,7,706.94,Grade A,1.28,26.98,43.85,True
Tomato,Desi,Vegetable,Maharashtra,Pune,Pune APMC,Zaid,8,3200.33,Grade B,1.45,20.1,28.0,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Year-Round,12,4018.55,Grade C,1.01,20.18,16.57,True
Soybean,Local,Oilseed,Uttar Pradesh,Agra,Agra Mandi,Rabi,9,861.8,Grade B,1.13,47.34,55.05,True
Mango,Local,Fruit,Punjab,Ludhiana,Ludhiana Mandi,Kharif,10,1678.64,Grade C,1.16,67.97,62.1,True
Green Chilli,Local,Spice,Madhya Pradesh,Indore,Indore Mandi,Year-Round,2,153.26,Grade B,1.38,41.62,48.68,True
Groundnut,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Year-Round,3,1141.78,Grade A,1.1,57.12,66.63,True
Tomato,Hybrid,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Kharif,8,2156.19,Grade B,1.02,21.88,24.93,True
Green Chilli,Local,Spice,Maharashtra,Pune,Pune APMC,Year-Round,2,3975.13,Grade B,1.39,35.91,39.17,True
Tomato,Desi,Vegetable,Gujarat,Rajkot,Rajkot APMC,Kharif,3,3891.2,Grade B,1.09,22.66,23.14,True
Tomato,Desi,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Kharif,9,1273.79,Grade C,1.64,21.23,25.42,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Rabi,1,1985.85,Grade A,1.76,23.42,41.87,True
Tomato,Hybrid,Vegetable,Gujarat,Rajkot,Rajkot APMC,Year-Round,7,2296.26,Grade A,0.88,20.81,22.42,True
Maize,Hybrid,Cereal,Maharashtra,Nashik,Nashik APMC,Kharif,11,4745.49,Grade A,0.9,19.72,16.36,True
Groundnut,Local,Oilseed,Punjab,Ludhiana,Ludhiana Mandi,Zaid,5,3919.86,Grade B,1.45,59.82,85.89,True
Rice,Basmati,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Zaid,2,4934.13,Grade A,0.75,67.58,51.69,True
Green Chilli,Local,Spice,Punjab,Ludhiana,Ludhiana Mandi,Zaid,1,2944.12,Grade A,1.43,38.46,51.64,True
Groundnut,Local,Oilseed,Maharashtra,Mumbai,Vashi APMC,Rabi,2,4866.83,Grade C,1.3,55.65,47.44,True
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Rabi,4,3538.17,Grade A,0.84,35.77,31.61,True
Rice,Basmati,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Zaid,2,3325.08,Grade A,1.77,74.38,129.93,True
Tomato,Desi,Vegetable,Maharashtra,Nashik,Nashik APMC,Rabi,8,3854.17,Grade C,0.74,20.99,12.94,True
Green Chilli,Local,Spice,Gujarat,Rajkot,Rajkot APMC,Kharif,12,838.47,Grade B,1.33,42.57,53.76,True
Maize,Hybrid,Cereal,Gujarat,Rajkot,Rajkot APMC,Kharif,9,590.09,Grade B,1.38,23.59,31.37,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Indore Mandi,Zaid,1,645.03,Grade C,1.25,19.75,17.87,True
Green Chilli,Local,Spice,Maharashtra,Mumbai,Vashi APMC,Year-Round,1,1225.84,Grade B,1.05,45.25,46.05,True
Soybean,Local,Oilseed,Maharashtra,Pune,Pune APMC,Rabi,5,4323.5,Grade B,1.22,43.36,52.52,True
Soybean,Local,Oilseed,Maharashtra,Nashik,Nashik APMC,Year-Round,5,1268.04,Grade A,1.17,48.68,64.03,True
Tomato,Desi,Vegetable,Karnataka,Bengaluru,Bengaluru APMC,Zaid,5,1019.1,Grade B,0.61,21.21,13.97,True
Maize,Hybrid,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Zaid,4,4675.46,Grade A,1.02,21.94,23.1,True
Green Chilli,Local,Spice,Karnataka,Bengaluru,Bengaluru APMC,Rabi,12,2718.85,Grade A,0.97,44.85,47.91,True
Tomato,Hybrid,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Year-Round,11,659.95,Grade C,1.63,23.92,32.04,True
Wheat,Common,Cereal,Maharashtra,Nashik,Nashik APMC,Rabi,8,4816.49,Grade A,1.18,28.5,39.27,True
Wheat,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Rabi,7,3208.03,Grade A,1.22,30.97,45.32,True
Soybean,Local,Oilseed,Gujarat,Rajkot,Rajkot APMC,Rabi,10,4505.11,Grade A,1.02,47.69,46.8,True
Tomato,Desi,Vegetable,Gujarat,Rajkot,Rajkot APMC,Zaid,7,3354.37,Grade C,0.71,18.66,13.7,True
Tomato,Desi,Vegetable,Punjab,Ludhiana,Ludhiana Mandi,Zaid,12,4320.85,Grade A,0.86,21.96,21.2,True
Groundnut,Local,Oilseed,Maharashtra,Pune,Pune APMC,Kharif,9,2509.0,Grade A,1.79,56.82,106.75,True
Potato,Local,Vegetable,Maharashtra,Pune,Pune APMC,Rabi,9,3477.56,Grade B,1.79,18.82,32.18,True
Rice,Common,Cereal,Punjab,Ludhiana,Ludhiana Mandi,Rabi,5,4476.24,Grade A,0.83,31.92,29.03,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Indore Mandi,Year-Round,12,384.68,Grade B,1.56,22.41,32.29,True
Rice,Basmati,Cereal,Gujarat,Rajkot,Rajkot APMC,Rabi,12,1655.45,Grade B,1.0,79.17,82.32,True
Tomato,Desi,Vegetable,Madhya Pradesh,Indore,Indore Mandi,Rabi,6,2833.37,Grade A,1.75,20.86,43.43,True
Maize,Hybrid,Cereal,Madhya Pradesh,Indore,Indore Mandi,Year-Round,9,4117.94,Grade B,0.6,17.89,9.13,True
Rice,Common,Cereal,Karnataka,Bengaluru,Bengaluru APMC,Zaid,5,3699.04,Grade A,1.52,37.16,62.94,True
Onion,Red,Vegetable,Uttar Pradesh,Agra,Agra Mandi,Rabi,7,4330.2,Grade A,1.33,19.82,30.71,True
